id,name,age,salary,joining_date,is_active,city,rating,experience_years,email,phone,status
46.0,Unknown,34,149291.57,2021-01-14 00:00:00,No,Bangalore,4.8,5,user46@example.com,5093412388,Inactive
47.0,,41,62997.54,not available,True,Pune,3.2,2,user47@example.com,2653982164,unknown
48.0,Amit,49,130647.77,2024-02-10 00:00:00,No,Hyderabad,2.9,17,user48@example.com,2695186921,Inactive
49.0,Neha,48,129747.71,2018-09-08 00:00:00,Yes,?,3.3,-1,user49@example.com,6835343510,unknown
50.0,Neha,19,53041.27,2021-12-12 00:00:00,No,Bangalore,bad,1,user50@example.com,8476544272,unknown
51.0,Unknown,57,unknown,2024-06-26 00:00:00,,NA,3.8,15,user51@example.com,,
52.0,Amit,56,58166.94,2022-09-07 00:00:00,True,Hyderabad,2.7,17,user52@example.com,3626431383,Pending
53.0,Akshay,30,30607.24,2023-01-29 00:00:00,No,?,3.0,12,user53@example.com,8712870799,Inactive
54.0,,31,135700.69,not available,True,Mumbai,,14,user54@example.com,7178199327,Pending
55.0,Neha,40,107363.4,2015-02-20 00:00:00,No,Pune,2.9,16,user55@example.com,6597482766,
56.0,Ravi,60,36517.87,2023-04-29 00:00:00,True,Pune,4.3,11,user56@example.com,9956499139,unknown
57.0,Ravi,-5,129463.0,,Yes,Delhi,10,five,user57@example.com,7616977454,Active
58.0,Akshay,52,102865.89,2025-08-27 00:00:00,False,,1.5,five,user58@example.com,7512460411,Pending
59.0,Sara,59,61984.34,2016-10-18 00:00:00,No,,2.6,18,user59@example.com,1791707097,Inactive
60.0,Ravi,-5,145144.29,2022-10-09 00:00:00,False,NA,bad,,user60@example.com,1744293433,unknown
61.0,Unknown,18,77505.79,not available,False,Bangalore,2.0,15,user61@example.com,3835526119,Active
62.0,Neha,62,56391.41,2024-02-26 00:00:00,No,NA,3.1,4,,12345,Active
63.0,Ravi,39,114905.11,2023-08-14 00:00:00,,?,3.3,18,,1516103253,Active
64.0,Akshay,46,35089.44,2017-12-28 00:00:00,False,NA,1.4,13,user64@example.com,8317154803,Inactive
65.0,Unknown,22,81642.6,2021-03-15 00:00:00,True,Hyderabad,4.1,6,,7158345949,unknown
66.0,Akshay,54,71805.62,2022-01-13 00:00:00,False,Hyderabad,4.8,3,user66@example.com,6415496883,unknown
67.0,Unknown,48,21989.59,2025-03-19 00:00:00,,,3.0,0,user67@example.com,1699798019,unknown
68.0,Amit,33,29173.94,not available,No,,3.6,16,user68@example.com,2968181152,Inactive
69.0,,68,126683.13,2018-07-15 00:00:00,True,,,2,user69@example.com,5128282016,Pending
70.0,Priya,57,137695.58,2024-12-06 00:00:00,True,Pune,2.1,11,user70@example.com,5462312700,Pending
71.0,Sara,68,100373.0,2022-08-06 00:00:00,False,NA,1.3,7,user71@example.com,4628711833,Pending
72.0,Priya,27,23025.35,,False,Bangalore,,1,,8287430644,Active
73.0,,67,unknown,2019-02-25 00:00:00,,Hyderabad,4.7,3,user73@example.com,4450924308,Inactive
74.0,Priya,53,43067.14,2021-11-09 00:00:00,False,Hyderabad,3.3,five,user74@example.com,4334668262,Pending
75.0,,49,64304.46,2023-12-06 00:00:00,False,Mumbai,3.2,11,user75@example.com,N/A,Inactive
76.0,,,75769.22,2019-03-29 00:00:00,True,Delhi,4.0,2,user76@example.com,2622333213,
77.0,Ravi,34,89462.57,,True,NA,3.0,12,,1229717603,Pending
78.0,Unknown,29,144610.39,2025-11-30 00:00:00,False,NA,1.4,-1,user78@example.com,8201671902,Inactive
79.0,Amit,69,94546.93,2018-10-22 00:00:00,Yes,Hyderabad,,15,,1393866308,Inactive
80.0,Unknown,?,58117.4,,No,,bad,19,user80@example.com,N/A,
81.0,Priya,38,,2024-09-25 00:00:00,True,?,4.8,15,user81@example.com,12345,Pending
82.0,,56,NaN,2020-11-26 00:00:00,No,Hyderabad,4.7,6,,7655175902,Active
,Priya,22,115814.62,2017-01-02 00:00:00,,Mumbai,2.4,17,user83@example.com,4270663241,Pending
84.0,Priya,61,132692.93,2024-01-15 00:00:00,Yes,Pune,1.3,12,user84@example.com,4529862065,Active
85.0,,-5,135946.6,2018-05-02 00:00:00,Yes,NA,10,4,user85@example.com,N/A,unknown
86.0,,46,31028.9,not available,Yes,Delhi,4.9,15,user86@example.com,,Inactive
87.0,,62,68183.48,2016-05-14 00:00:00,Yes,?,1.9,6,user87@example.com,3542142764,Inactive
88.0,Amit,21,65528.37,2024-02-06 00:00:00,True,Mumbai,1.3,11,user88@example.com,8323281574,Inactive
89.0,,44,52334.14,2024-11-11 00:00:00,Yes,Hyderabad,bad,6,user89@example.com,7410776002,
90.0,Neha,62,21475.97,2018-05-28 00:00:00,True,?,3.3,-1,user90@example.com,2610056894,
91.0,Ravi,66,unknown,2024-07-12 00:00:00,False,?,4.5,-1,user91@example.com,7169015412,Inactive
92.0,,23,124274.2,2016-11-15 00:00:00,,Pune,4.9,14,,1186404943,Inactive
93.0,Akshay,38,149085.42,2018-06-06 00:00:00,,Pune,2.0,18,user93@example.com,6008857134,
94.0,Neha,58,48185.18,2018-03-12 00:00:00,,Mumbai,,0,invalid@,3993270325,
95.0,,20,137150.54,2023-04-07 00:00:00,,Pune,2.1,-1,user95@example.com,6962567303,Inactive
96.0,,-5,unknown,2022-07-08 00:00:00,No,?,1.9,4,user96@example.com,2116476131,Inactive
97.0,,44,110761.02,2023-10-22 00:00:00,True,?,2.1,19,user97@example.com,3940898011,
98.0,,65,41140.2,,True,Mumbai,4.6,5,user98@example.com,7084418418,
99.0,Akshay,22,99743.98,2021-11-02 00:00:00,,NA,10,9,user99@example.com,7664019194,Active
100.0,Ravi,62,41428.45,2017-10-12 00:00:00,Yes,Mumbai,2.5,0,user100@example.com,9535285983,
101.0,,64,,2021-02-02 00:00:00,True,Pune,bad,10,user101@example.com,4219414297,
102.0,Ravi,42,146088.87,2022-10-13 00:00:00,No,Pune,10,16,user102@example.com,1272781216,
103.0,Sara,51,24786.84,2016-05-25 00:00:00,,Pune,2.1,five,user103@example.com,8265858011,
104.0,,34,89465.02,2019-07-27 00:00:00,No,Pune,10,5,invalid@,5057737892,unknown
105.0,Priya,?,118420.56,2015-03-24 00:00:00,No,Mumbai,bad,16,user105@example.com,2935072333,
106.0,Ravi,26,36790.72,2015-02-20 00:00:00,No,Pune,2.1,3,user106@example.com,9066896320,unknown
107.0,Akshay,66,NaN,2016-05-02 00:00:00,,?,,1,user107@example.com,7434570489,Inactive
108.0,Unknown,51,81907.39,not available,,Hyderabad,4.3,17,,9452382955,unknown
109.0,Unknown,22,31493.07,2017-02-01 00:00:00,Yes,Hyderabad,2.6,,,3746036109,unknown
110.0,Neha,19,124655.81,2020-11-20 00:00:00,No,Delhi,1.5,1,invalid@,7906684721,unknown
111.0,Amit,51,unknown,2025-09-26 00:00:00,True,Bangalore,2.6,18,user111@example.com,7231612896,Active
112.0,Ravi,41,138361.27,2016-06-25 00:00:00,True,NA,3.5,18,user112@example.com,5078160004,
113.0,Amit,46,,2023-01-26 00:00:00,Yes,,2.8,16,user113@example.com,8597443856,Inactive
114.0,Sara,37,79687.65,2022-02-06 00:00:00,,NA,3.5,1,user114@example.com,1898209917,Active
,Unknown,60,95354.49,2020-03-21 00:00:00,No,NA,3.1,15,user115@example.com,,
,Akshay,48,72039.06,2020-04-19 00:00:00,,?,3.6,five,user116@example.com,,
117.0,Amit,57,,2023-01-26 00:00:00,True,Bangalore,2.4,2,user117@example.com,1825875065,unknown
118.0,Priya,68,25312.92,2017-10-25 00:00:00,,,2.4,9,user118@example.com,1136600085,
119.0,Priya,38,91332.99,2022-05-16 00:00:00,Yes,,2.8,13,user119@example.com,5847937456,Inactive
120.0,Unknown,31,62912.94,2025-12-08 00:00:00,True,Bangalore,1.2,14,user120@example.com,3954012885,Active
121.0,,64,86515.41,2015-04-17 00:00:00,Yes,Hyderabad,4.7,16,user121@example.com,9024292131,unknown
122.0,,18,30987.21,2020-03-05 00:00:00,False,?,1.7,14,user122@example.com,7950351321,
123.0,Amit,45,67958.77,2024-01-01 00:00:00,Yes,Mumbai,3.9,13,user123@example.com,7216588793,Active
124.0,Unknown,55,,2022-08-18 00:00:00,False,Pune,2.6,4,,1908162278,Inactive
125.0,Akshay,39,62574.66,not available,No,Mumbai,,11,,4824785552,unknown
126.0,,30,97167.02,2019-05-23 00:00:00,False,Mumbai,2.4,8,user126@example.com,12345,Active
127.0,Amit,62,82345.67,2021-03-25 00:00:00,Yes,Hyderabad,3.1,1,user127@example.com,6513775528,Active
128.0,Amit,54,NaN,2019-03-22 00:00:00,No,Pune,10,19,user128@example.com,7904397119,Pending
129.0,,51,51765.91,2021-06-20 00:00:00,,Delhi,4.9,4,user129@example.com,2018881312,Active
130.0,Akshay,39,49293.26,2019-05-25 00:00:00,No,Pune,2.0,3,user130@example.com,6096266570,Active
,Akshay,47,NaN,2019-06-19 00:00:00,Yes,Mumbai,1.2,8,user131@example.com,9811707266,Pending
132.0,Neha,68,unknown,2022-02-03 00:00:00,True,NA,2.6,3,user132@example.com,7003744065,Inactive
133.0,Neha,?,94879.79,,,NA,4.7,14,user133@example.com,,Pending
134.0,Priya,23,146758.73,2019-06-18 00:00:00,No,NA,1.7,18,user134@example.com,9286606776,Inactive
135.0,,19,92379.18,,,,3.3,18,user135@example.com,4304946987,Pending
136.0,Unknown,22,unknown,2021-07-01 00:00:00,False,Bangalore,4.9,3,,4162157587,
137.0,,,51513.27,2016-07-12 00:00:00,True,Delhi,bad,0,user137@example.com,8592555149,unknown
138.0,Amit,55,95560.97,2015-05-19 00:00:00,,Mumbai,4.7,12,user138@example.com,2585832837,Active
139.0,Ravi,67,79054.84,2015-09-18 00:00:00,Yes,Delhi,1.3,,,3940212391,Active
140.0,Akshay,19,31422.85,2018-09-04 00:00:00,No,NA,3.7,16,user140@example.com,3558248906,Pending
141.0,Neha,32,81304.9,2020-07-31 00:00:00,No,?,4.2,16,user141@example.com,4567483197,Pending
142.0,Neha,61,73107.38,2020-03-23 00:00:00,,NA,3.9,8,user142@example.com,N/A,unknown
143.0,Sara,51,43560.3,2019-04-20 00:00:00,,Bangalore,,0,user143@example.com,5501532219,Pending
144.0,Ravi,46,,2025-09-16 00:00:00,,Bangalore,4.3,4,user144@example.com,8728953147,
145.0,Amit,47,127267.25,2023-11-11 00:00:00,True,Delhi,4.3,13,user145@example.com,9194222653,
146.0,Priya,21,61105.56,not available,False,Delhi,3.4,17,user146@example.com,9159009567,Active
147.0,Neha,68,101133.2,2020-03-03 00:00:00,Yes,Delhi,4.0,14,user147@example.com,,Pending
148.0,Unknown,50,50187.65,2018-06-02 00:00:00,False,Delhi,2.6,1,user148@example.com,5581094196,Pending
149.0,Ravi,57,49773.3,2023-07-08 00:00:00,False,,1.5,5,user149@example.com,N/A,
150.0,Priya,20,101602.05,2022-02-14 00:00:00,True,NA,1.6,14,user150@example.com,3291197939,unknown
151.0,Priya,47,136206.04,2016-02-24 00:00:00,True,Pune,5.0,0,user151@example.com,2067252708,
152.0,Akshay,44,unknown,2017-08-08 00:00:00,False,,bad,0,user152@example.com,12345,
153.0,Neha,21,94085.66,2024-11-02 00:00:00,Yes,NA,3.0,9,user153@example.com,1442020981,Pending
154.0,Unknown,-5,126763.45,,True,Hyderabad,1.4,3,,1547559639,
155.0,Unknown,69,71647.35,2023-11-03 00:00:00,Yes,Mumbai,,7,user155@example.com,3088889500,
156.0,Sara,64,73164.17,2025-04-14 00:00:00,,Pune,3.9,18,user156@example.com,N/A,Inactive
157.0,Akshay,68,93516.09,2017-03-04 00:00:00,False,?,2.0,4,user157@example.com,9196732745,unknown
158.0,Sara,57,95840.93,2016-12-12 00:00:00,Yes,Pune,10,14,user158@example.com,N/A,unknown
159.0,Neha,43,143146.83,2021-09-09 00:00:00,Yes,Bangalore,bad,12,user159@example.com,7921143256,unknown
160.0,Sara,50,22354.32,2017-04-07 00:00:00,Yes,Mumbai,bad,10,user160@example.com,8607446512,
161.0,Neha,45,68676.6,2020-04-12 00:00:00,True,Pune,2.7,13,user161@example.com,9206334730,Inactive
162.0,Sara,40,35965.4,2019-06-25 00:00:00,False,NA,4.9,five,,6095209379,unknown
163.0,,40,139709.44,2020-01-29 00:00:00,True,?,2.2,18,user163@example.com,2629105582,Active
164.0,Ravi,26,116752.45,2015-07-21 00:00:00,No,Bangalore,4.2,-1,user164@example.com,3592964249,Pending
165.0,Ravi,58,34854.75,2021-04-10 00:00:00,False,Hyderabad,3.1,10,user165@example.com,6782512001,Active
166.0,Akshay,24,65103.92,2016-02-22 00:00:00,,Delhi,4.7,10,user166@example.com,6052543639,Active
167.0,,42,84787.81,2016-12-10 00:00:00,No,Delhi,1.1,0,user167@example.com,4352203548,
168.0,Amit,60,102194.36,2021-01-12 00:00:00,True,Hyderabad,1.9,five,,1764658630,Pending
169.0,Unknown,34,144939.14,2016-11-19 00:00:00,No,,3.2,7,user169@example.com,2286754630,unknown
170.0,Priya,18,,2019-10-26 00:00:00,True,NA,1.3,18,user170@example.com,3684251440,Inactive
171.0,,62,69104.37,2023-10-21 00:00:00,,Mumbai,3.3,17,user171@example.com,4330865741,unknown
172.0,Priya,68,unknown,2023-11-21 00:00:00,Yes,Hyderabad,3.1,,user172@example.com,7188028891,Pending
173.0,Neha,66,72099.2,2019-08-29 00:00:00,False,Mumbai,4.1,,user173@example.com,6457806793,Pending
174.0,Sara,36,103719.94,2024-06-13 00:00:00,False,Pune,bad,0,,9018677126,Inactive
175.0,,46,73037.98,2015-11-09 00:00:00,,Hyderabad,1.9,7,invalid@,6752126200,Pending
176.0,Amit,64,94027.66,2023-07-20 00:00:00,No,,3.6,14,,8860734442,Pending
177.0,,33,71633.86,not available,False,NA,3.7,13,invalid@,4764298642,Pending
178.0,,53,103580.32,2015-03-23 00:00:00,False,Pune,4.6,14,user178@example.com,N/A,
179.0,Unknown,22,64436.26,2017-01-15 00:00:00,False,Mumbai,4.3,2,user179@example.com,9736943222,Active
180.0,Neha,29,127985.09,2017-03-15 00:00:00,,?,2.6,8,user180@example.com,8993226292,Inactive
181.0,,61,48536.37,2024-10-17 00:00:00,Yes,Mumbai,4.1,16,user181@example.com,7724959389,Inactive
182.0,,63,81238.51,2017-01-05 00:00:00,Yes,,,16,user182@example.com,5391472242,Inactive
183.0,Ravi,34,54928.06,2022-02-12 00:00:00,,NA,3.8,6,user183@example.com,1598529781,Active
184.0,Sara,39,128540.93,2020-08-13 00:00:00,False,NA,1.5,12,user184@example.com,6464518358,Inactive
185.0,Unknown,54,22390.79,2023-10-23 00:00:00,True,Delhi,3.1,9,user185@example.com,12345,Active
,Ravi,53,NaN,2015-02-10 00:00:00,True,Delhi,2.1,16,user186@example.com,3797829272,Pending
187.0,Priya,,84670.44,2016-08-10 00:00:00,,?,,,,5896342357,
188.0,Neha,?,37795.13,2025-09-01 00:00:00,No,,bad,5,user188@example.com,,Active
189.0,Neha,44,97663.7,2021-05-04 00:00:00,True,,bad,12,user189@example.com,,Inactive
190.0,Ravi,24,94528.27,2024-07-04 00:00:00,True,NA,2.7,13,,,Pending
,Ravi,19,41616.84,2018-10-18 00:00:00,False,Pune,,0,user191@example.com,9977928884,Inactive
192.0,Amit,53,120228.17,2015-01-29 00:00:00,No,?,2.6,7,user192@example.com,7339588193,
193.0,Ravi,64,144031.3,2016-02-10 00:00:00,,Bangalore,,4,,,Inactive
194.0,Neha,50,55088.46,2017-01-20 00:00:00,No,Pune,bad,19,,3131876797,Pending
195.0,Sara,,unknown,2024-10-18 00:00:00,True,Pune,3.4,1,user195@example.com,4311042713,Inactive
196.0,Unknown,19,33857.77,2022-07-23 00:00:00,True,NA,2.4,-1,,3128119000,
197.0,Neha,60,97777.19,2015-01-25 00:00:00,Yes,NA,2.0,2,user197@example.com,8728432356,
198.0,Neha,61,110310.54,2024-09-19 00:00:00,,NA,1.0,11,user198@example.com,4393082384,unknown
199.0,Ravi,27,109772.83,2019-03-01 00:00:00,True,NA,1.7,15,user199@example.com,4260034128,Inactive
200.0,Amit,40,114133.43,2023-04-12 00:00:00,No,NA,4.4,-1,user200@example.com,4879918033,unknown
201.0,Akshay,42,NaN,2018-07-15 00:00:00,Yes,NA,1.9,five,user201@example.com,5516569576,unknown
202.0,Unknown,62,107089.27,2024-03-13 00:00:00,,Hyderabad,3.8,6,user202@example.com,1775565206,
203.0,Ravi,43,NaN,2023-04-17 00:00:00,False,,2.9,-1,user203@example.com,9735731469,unknown
204.0,Priya,32,110664.63,2015-05-17 00:00:00,Yes,NA,1.8,7,user204@example.com,7106424122,unknown
205.0,Unknown,40,123394.44,2024-01-08 00:00:00,No,,4.4,6,user205@example.com,9748881168,Pending
206.0,Ravi,31,97515.08,2023-05-01 00:00:00,False,Hyderabad,3.2,,user206@example.com,1330511457,
207.0,Neha,?,135049.79,2018-04-09 00:00:00,Yes,Bangalore,bad,-1,user207@example.com,12345,Pending
208.0,Sara,57,77334.18,2023-04-19 00:00:00,Yes,,1.3,14,user208@example.com,6663998872,Pending
209.0,,30,101365.88,2015-01-16 00:00:00,No,NA,2.7,11,,7088142273,
210.0,Unknown,52,unknown,2023-11-16 00:00:00,True,Delhi,5.0,12,user210@example.com,2649112337,Active
211.0,Sara,49,141236.69,2020-03-29 00:00:00,True,Bangalore,5.0,19,user211@example.com,4295048637,Pending
212.0,Neha,66,72251.02,2015-09-02 00:00:00,Yes,Mumbai,2.9,15,,5688812957,Pending
213.0,Unknown,42,unknown,2024-05-23 00:00:00,No,NA,10,19,user213@example.com,4145083456,Pending
,Amit,47,20435.03,2024-08-01 00:00:00,False,Bangalore,10,13,user214@example.com,N/A,
215.0,Ravi,47,130866.84,2015-05-26 00:00:00,False,?,1.9,15,,4909876660,Active
216.0,Priya,63,25863.09,2016-02-03 00:00:00,,,2.5,3,user216@example.com,8722305316,Inactive
217.0,Unknown,54,31623.43,2016-12-10 00:00:00,No,?,4.9,13,user217@example.com,7929549132,unknown
218.0,Amit,51,41714.41,2022-02-24 00:00:00,No,Mumbai,bad,3,user218@example.com,4567582450,Inactive
219.0,Amit,62,35644.04,2023-09-14 00:00:00,,Hyderabad,1.7,8,user219@example.com,N/A,Pending
220.0,Unknown,66,144445.13,2020-03-26 00:00:00,True,Pune,2.4,4,user220@example.com,,Inactive
221.0,Unknown,64,,,Yes,Delhi,1.9,8,user221@example.com,7549960432,unknown
222.0,,59,86982.23,2017-04-29 00:00:00,False,Bangalore,3.8,2,,7970462988,Pending
223.0,Akshay,64,NaN,2023-08-27 00:00:00,True,Mumbai,3.4,13,user223@example.com,1392932961,
224.0,Ravi,?,79466.17,2017-08-09 00:00:00,False,Mumbai,,2,user224@example.com,4817143944,
225.0,Amit,20,144234.69,2018-09-17 00:00:00,Yes,Bangalore,1.1,14,user225@example.com,4157714314,Pending
226.0,,51,73098.92,2017-09-01 00:00:00,Yes,Pune,1.0,4,user226@example.com,5643058117,Inactive
227.0,Sara,-5,145075.86,,True,Hyderabad,10,15,user227@example.com,4841762075,Inactive
228.0,Neha,22,148891.79,2018-02-11 00:00:00,False,?,3.0,,user228@example.com,,Pending
229.0,,49,87090.27,2020-12-02 00:00:00,True,Hyderabad,4.3,7,user229@example.com,7630479911,unknown
230.0,Priya,44,unknown,2020-06-19 00:00:00,No,Bangalore,2.1,,user230@example.com,12345,Inactive
231.0,,23,87763.84,2021-07-11 00:00:00,Yes,?,3.6,0,user231@example.com,4594944874,
232.0,,62,110671.29,2018-04-08 00:00:00,,Mumbai,1.4,5,user232@example.com,4783311082,Pending
233.0,Ravi,62,133339.66,2017-11-20 00:00:00,True,?,4.3,9,user233@example.com,4193343645,Active
234.0,Akshay,56,40898.79,2021-07-31 00:00:00,No,Bangalore,3.2,12,user234@example.com,N/A,Pending
235.0,Ravi,-5,,2020-07-05 00:00:00,Yes,,10,-1,user235@example.com,,Active
236.0,Sara,29,20830.16,2018-06-01 00:00:00,Yes,NA,1.3,16,user236@example.com,3713618448,Pending
237.0,Ravi,-5,35059.7,2022-12-23 00:00:00,True,,3.5,12,user237@example.com,6511915986,
238.0,Unknown,47,22395.6,2018-06-10 00:00:00,,?,4.9,14,user238@example.com,8532079140,
239.0,Amit,46,122544.91,2023-02-11 00:00:00,False,?,3.8,17,user239@example.com,3500403081,unknown
240.0,Sara,18,27529.66,2023-09-27 00:00:00,True,Pune,1.2,17,,9476070591,Pending
241.0,Priya,64,145954.12,2025-04-05 00:00:00,,,3.6,19,,N/A,Pending
242.0,Unknown,29,23196.3,2017-06-25 00:00:00,True,Mumbai,4.3,14,user242@example.com,12345,unknown
243.0,Priya,32,126442.13,2021-11-11 00:00:00,True,,10,1,,7307328737,Inactive
244.0,Sara,46,142759.47,2023-09-06 00:00:00,No,Hyderabad,2.8,6,user244@example.com,3979342492,
245.0,Neha,28,unknown,2023-01-10 00:00:00,True,NA,4.4,14,user245@example.com,6283040339,Inactive
246.0,Neha,39,37073.57,2025-05-06 00:00:00,No,Bangalore,,16,user246@example.com,5943756011,Active
247.0,,45,115065.11,2021-06-08 00:00:00,No,?,2.7,19,user247@example.com,8559546514,Active
248.0,Akshay,22,147917.09,2024-02-11 00:00:00,Yes,Pune,,5,user248@example.com,1860535970,Active
249.0,Neha,66,104716.69,2024-11-04 00:00:00,Yes,Bangalore,bad,17,user249@example.com,6169857496,
250.0,Amit,34,31851.38,2016-06-03 00:00:00,False,Bangalore,4.1,13,user250@example.com,8563540467,Inactive
251.0,Ravi,24,unknown,2021-08-31 00:00:00,True,Hyderabad,10,11,user251@example.com,12345,Pending
252.0,Amit,41,139710.22,2023-01-25 00:00:00,Yes,Delhi,1.7,,user252@example.com,5798802125,Pending
253.0,Amit,24,36274.15,2018-06-13 00:00:00,Yes,Mumbai,2.0,8,user253@example.com,6263654831,Active
254.0,Sara,39,95656.28,2015-04-27 00:00:00,Yes,Pune,3.4,7,user254@example.com,1642443984,Pending
255.0,Akshay,25,80397.82,2020-07-06 00:00:00,Yes,,10,17,user255@example.com,12345,unknown
256.0,Unknown,63,146710.98,2015-06-15 00:00:00,,,bad,10,invalid@,4251544792,Active
257.0,Sara,-5,131815.91,2015-04-12 00:00:00,Yes,Pune,4.6,10,user257@example.com,12345,Inactive
258.0,Unknown,39,,2025-04-20 00:00:00,False,,1.4,16,invalid@,,Pending
259.0,Ravi,,33363.01,2023-07-15 00:00:00,No,?,1.6,five,user259@example.com,6198411867,Active
260.0,Priya,37,64982.15,2017-07-24 00:00:00,Yes,Mumbai,1.0,0,user260@example.com,7589520096,
261.0,Ravi,50,134729.35,2020-05-03 00:00:00,Yes,,bad,0,user261@example.com,1337492083,
,Unknown,?,66514.18,2023-09-10 00:00:00,False,NA,bad,1,,7732536678,Inactive
263.0,Neha,43,109630.45,,,,4.2,1,,12345,
264.0,Priya,59,41772.74,2018-08-21 00:00:00,Yes,,4.8,2,user264@example.com,9725596037,
265.0,Sara,26,NaN,not available,True,Bangalore,4.7,6,,4045391729,Pending
